Timestamp,Date,UPC,DSD,Workable,Worked,Out of Stock Start,Out of Stock End,Out of Stock Duration,Expected Out of Stock Duration,Hours Recouped, Sales Per Hour , Expected Lost Sales , Expected Workable Lost Sales , Recouped Sales 
1/1/19 6:31,1/1/19,7943675883,TRUE,TRUE,TRUE,1/1/19 6:31,1/1/19 20:33,14.03,16.48,2.45, $2.55 , $42.03 , $42.03 , $6.25 
1/1/19 6:31,1/1/19,7393548538,TRUE,TRUE,TRUE,1/1/19 6:31,1/1/19 20:33,14.03,16.48,2.45, $0.81 , $13.35 , $13.35 , $1.98 
1/1/19 6:31,1/1/19,6394853337,FALSE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $4.58 , $75.49 , $75.49 , $-   
1/1/19 6:31,1/1/19,3219980884,TRUE,TRUE,TRUE,1/1/19 6:31,1/1/19 12:28,5.96,16.48,10.52, $5.99 , $98.73 , $98.73 , $63.01 
1/1/19 6:31,1/1/19,2572960196,TRUE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $5.44 , $89.66 , $89.66 , $-   
1/1/19 6:31,1/1/19,6446123518,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $4.88 , $80.42 , $-   , $-   
1/1/19 6:31,1/1/19,1803137033,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $1.35 , $22.25 , $-   , $-   
1/1/19 6:31,1/1/19,7845757623,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $5.87 , $96.73 , $-   , $-   
1/1/19 6:31,1/1/19,4163492151,FALSE,TRUE,TRUE,1/1/19 6:31,1/1/19 7:57,1.43,16.48,15.05, $2.37 , $39.05 , $39.05 , $35.66 
1/1/19 6:31,1/1/19,6605364815,FALSE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $1.58 , $26.03 , $26.03 , $-   
1/1/19 6:31,1/1/19,4434059661,TRUE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $1.00 , $16.48 , $-   , $-   
1/1/19 6:31,1/1/19,4126130095,TRUE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $4.82 , $79.42 , $79.42 , $-   
1/1/19 6:31,1/1/19,4498822873,TRUE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.48,16.48,0.00, $5.70 , $93.92 , $-   , $-   
1/1/19 6:31,1/1/19,1504197017,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $3.21 , $52.88 , $-   , $-   
1/1/19 6:31,1/1/19,1197217441,FALSE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $3.90 , $64.25 , $64.25 , $-   
1/1/19 6:31,1/1/19,3039756781,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $4.11 , $67.71 , $-   , $-   
1/1/19 6:31,1/1/19,8111926077,FALSE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $4.30 , $70.84 , $70.84 , $-   
1/1/19 6:31,1/1/19,6717511215,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $1.81 , $29.82 , $-   , $-   
1/1/19 6:31,1/1/19,5188647547,FALSE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $3.63 , $59.80 , $59.80 , $-   
1/1/19 6:31,1/1/19,3872384896,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $5.66 , $93.25 , $-   , $-   
1/1/19 6:31,1/1/19,7426842934,TRUE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $3.13 , $51.57 , $-   , $-   
1/1/19 6:31,1/1/19,7477835159,TRUE,TRUE,TRUE,1/1/19 6:31,1/1/19 14:35,8.06,16.47,8.41, $0.89 , $14.66 , $14.66 , $7.49 
1/1/19 6:31,1/1/19,5416281083,TRUE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $1.57 , $25.87 , $-   , $-   
1/1/19 6:31,1/1/19,8614322404,TRUE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $3.21 , $52.88 , $-   , $-   
1/1/19 6:31,1/1/19,8345411199,TRUE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $1.14 , $18.78 , $18.78 , $-   
1/1/19 6:31,1/1/19,7541093586,FALSE,TRUE,TRUE,1/1/19 6:31,1/1/19 18:35,12.07,16.47,4.40, $3.23 , $53.21 , $53.21 , $14.22 
1/1/19 6:31,1/1/19,7716045905,FALSE,TRUE,TRUE,1/1/19 6:31,1/1/19 17:02,10.51,16.47,5.96, $2.87 , $47.28 , $47.28 , $17.12 
1/1/19 6:31,1/1/19,5036758623,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $1.25 , $20.59 , $-   , $-   
1/1/19 6:31,1/1/19,5601076342,FALSE,TRUE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $4.11 , $67.70 , $67.70 , $-   
1/1/19 6:31,1/1/19,3848818406,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $2.75 , $45.30 , $-   , $-   
1/1/19 6:31,1/1/19,7035114912,FALSE,FALSE,FALSE,1/1/19 6:31,1/1/19 23:00,16.47,16.47,0.00, $2.66 , $43.81 , $-   , $-   
1/1/19 6:32,1/1/19,9129388619,FALSE,FALSE,FALSE,1/1/19 6:32,1/1/19 23:00,16.47,16.47,0.00, $2.05 , $33.76 , $-   , $-   
1/1/19 6:32,1/1/19,5943006712,FALSE,FALSE,FALSE,1/1/19 6:32,1/1/19 23:00,16.47,16.47,0.00, $1.32 , $21.74 , $-   , $-   
1/1/19 6:32,1/1/19,2175899464,FALSE,TRUE,FALSE,1/1/19 6:32,1/1/19 23:00,16.47,16.47,0.00, $4.82 , $79.37 , $79.37 , $-   
1/1/19 6:32,1/1/19,7715356801,FALSE,TRUE,FALSE,1/1/19 6:32,1/1/19 23:00,16.47,16.47,0.00, $3.97 , $65.37 , $65.37 , $-   
1/1/19 6:32,1/1/19,4044727995,FALSE,TRUE,FALSE,1/1/19 6:32,1/1/19 23:00,16.47,16.47,0.00, $3.83 , $63.06 , $63.06 , $-   
1/1/19 6:32,1/1/19,8717359230,FALSE,FALSE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $2.24 , $36.88 , $-   , $-   
1/1/19 6:32,1/1/19,4829476335,FALSE,FALSE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $2.30 , $37.87 , $-   , $-   
1/1/19 6:32,1/1/19,9104715357,FALSE,TRUE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $5.50 , $90.56 , $90.56 , $-   
1/1/19 6:32,1/1/19,4714662913,FALSE,FALSE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $5.90 , $97.14 , $-   , $-   
1/1/19 6:32,1/1/19,2007817241,FALSE,TRUE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $1.85 , $30.46 , $30.46 , $-   
1/1/19 6:32,1/1/19,5521072873,FALSE,TRUE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $2.00 , $32.93 , $32.93 , $-   
1/1/19 6:32,1/1/19,8314246166,FALSE,TRUE,TRUE,1/1/19 6:32,1/1/19 18:04,11.54,16.46,4.93, $4.53 , $74.59 , $74.59 , $22.33 
1/1/19 6:32,1/1/19,3909883448,FALSE,FALSE,FALSE,1/1/19 6:32,1/1/19 23:00,16.46,16.46,0.00, $2.15 , $35.40 , $-   , $-   
